storage,solar,freq
0.0,0.0,0.218736812888473
0.0,0.009999999999999966,0.196225900677852
0.0,0.01999999999999993,0.17576442990989
0.0,0.030000000000000072,0.152134832123487
0.0,0.040000000000000036,0.152120540700849
0.0125,0.0,0.191128334759064
0.0125,0.009999999999999966,0.168419793776486
0.0125,0.01999999999999993,0.152149682009934
0.0125,0.030000000000000072,0.152134832123487
0.0125,0.040000000000000036,0.152120540700849
0.025,0.0,0.16284293755848
0.025,0.009999999999999966,0.152165109384804
0.025,0.01999999999999993,0.152149682009934
0.025,0.030000000000000072,0.152134832123487
0.025,0.040000000000000036,0.152120540700849
0.0375,0.0,0.153328601857154
0.0375,0.009999999999999966,0.152165109384804
0.0375,0.01999999999999993,0.152149682009934
0.0375,0.030000000000000072,0.152134832123487
0.0375,0.040000000000000036,0.152120540700849
0.05,0.0,0.153328601857154
0.05,0.009999999999999966,0.151637516978901
0.05,0.01999999999999993,0.151622093971646
0.05,0.030000000000000072,0.151607248275496
0.05,0.040000000000000036,0.151592960872598
